Job array    : 752, task 11
Node         : bn049
Started at   : Tue Mar 17 02:39:18 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

  Epoch   6/50 | LR=1.29e-04 | TLoss=52.0989 | VLoss=63.1108 | AP@50=0.0009 | SliceAP=0.2574 | EMA_SliceAP=0.3928
  Epoch   7/50 | LR=1.51e-04 | TLoss=41.9148 | VLoss=47.1007 | AP@50=0.0007 | SliceAP=0.1881 | EMA_SliceAP=0.3314
  Epoch   8/50 | LR=1.73e-04 | TLoss=34.1011 | VLoss=44.4545 | AP@50=0.0009 | SliceAP=0.0891 | EMA_SliceAP=0.2587
  Epoch   9/50 | LR=1.95e-04 | TLoss=29.8592 | VLoss=37.4200 | AP@50=0.0061 | SliceAP=0.1980 | EMA_SliceAP=0.2405
  Epoch  10/50 | LR=1.95e-04 | TLoss=26.9004 | VLoss=37.7402 | AP@50=0.0399 | SliceAP=0.5545 | EMA_SliceAP=0.3347
  Epoch  11/50 | LR=1.94e-04 | TLoss=24.5916 | VLoss=36.9727 | AP@50=0.0153 | SliceAP=0.4554 | EMA_SliceAP=0.3709
  Epoch  12/50 | LR=1.93e-04 | TLoss=22.8314 | VLoss=35.3687 | AP@50=0.0383 | SliceAP=0.4059 | EMA_SliceAP=0.3814
  Epoch  13/50 | LR=1.91e-04 | TLoss=21.8059 | VLoss=36.1394 | AP@50=0.3314 | SliceAP=0.4752 | EMA_SliceAP=0.4096
  Epoch  14/50 | LR=1.89e-04 | TLoss=20.0068 | VLoss=37.7350 | AP@50=0.1681 | SliceAP=0.5842 | EMA_SliceAP=0.4619
  Epoch  15/50 | LR=1.86e-04 | TLoss=19.6013 | VLoss=37.4380 | AP@50=0.2671 | SliceAP=0.6139 | EMA_SliceAP=0.5075
  Epoch  16/50 | LR=1.83e-04 | TLoss=17.2225 | VLoss=32.3089 | AP@50=0.2677 | SliceAP=0.6337 | EMA_SliceAP=0.5454
  Epoch  17/50 | LR=1.79e-04 | TLoss=17.0481 | VLoss=35.7090 | AP@50=0.2950 | SliceAP=0.6733 | EMA_SliceAP=0.5837
  Epoch  18/50 | LR=1.75e-04 | TLoss=15.8582 | VLoss=36.0837 | AP@50=0.2326 | SliceAP=0.6139 | EMA_SliceAP=0.5928
  Epoch  19/50 | LR=1.71e-04 | TLoss=15.6438 | VLoss=42.1808 | AP@50=0.0868 | SliceAP=0.4257 | EMA_SliceAP=0.5427
  Epoch  20/50 | LR=1.66e-04 | TLoss=15.1137 | VLoss=33.3418 | AP@50=0.2565 | SliceAP=0.5149 | EMA_SliceAP=0.5343
  Epoch  21/50 | LR=1.60e-04 | TLoss=14.6140 | VLoss=37.2717 | AP@50=0.2270 | SliceAP=0.5149 | EMA_SliceAP=0.5285
  Epoch  22/50 | LR=1.55e-04 | TLoss=12.7718 | VLoss=38.2537 | AP@50=0.2578 | SliceAP=0.4554 | EMA_SliceAP=0.5066
